HS Code,ID,Rate
0106310000,SCTS18,-
0106310000,SCTF028,-
0106310000,SCF90,-
0106310000,ENVL20,0.50%
0106320000,ID-01,40.00%
0106320000,ASD05,-
0106320000,GCT 06,15%
0106320000,EXC023,-
0106320000,SCTA08,-
0106320000,SCTS18,-
0106320000,SCTF028,-
0106320000,SCF90,-
0106320000,ENVL20,0.50%
0106330000,ID-01,40.00%
0106330000,ASD05,-
0106330000,GCT 06,15%
0106330000,EXC023,-
0106330000,SCTA08,-
0106330000,SCTS18,-
0106330000,SCTF028,-
0106330000,SCF90,-
0106330000,ENVL20,0.50%
0106391000,ID-01,40.00%
0106391000,ASD05,-
0106391000,GCT 06,15%
0106391000,EXC023,-
0106391000,SCTA08,-
0106391000,SCTS18,-
0106391000,SCTF028,-
0106391000,SCF90,-
0106391000,ENVL20,0.50%
0106399000,ID-01,40.00%
0106399000,ASD05,-
0106399000,GCT 06,15%
0106399000,EXC023,-
0106399000,SCTA08,-
0106399000,SCTS18,-
0106399000,SCTF028,-
0106399000,SCF90,-
0106399000,ENVL20,0.50%
0106411000,ID-01,0.00%
0106411000,ASD05,-
0106411000,GCT 06,15%
0106411000,EXC023,-
0106411000,SCTA08,-
0106411000,SCTS18,-
0106411000,SCTF028,-
0106411000,SCF90,-
0106411000,ENVL20,0.50%
0106419000,ID-01,40.00%
0106419000,ASD05,-
0106419000,GCT 06,15%
0106419000,EXC023,-
0106419000,SCTA08,-
0106419000,SCTS18,-
0106419000,SCTF028,-
0106419000,SCF90,-
0106419000,ENVL20,0.50%
0106490000,ID-01,40.00%
0106490000,ASD05,-
0106490000,GCT 06,15%
0106490000,EXC023,-
0106490000,SCTA08,-
0106490000,SCTS18,-
0106490000,SCTF028,-
0106490000,SCF90,-
0106490000,ENVL20,0.50%
0106900010,ID-01,40.00%
0106900010,ASD05,-
0106900010,GCT 06,15%
0106900010,EXC023,-
0106900010,SCTA08,-
0106900010,SCTS18,-
0106900010,SCTF028,-
0106900010,SCF90,-
0106900010,ENVL20,0.50%
0106900090,ID-01,40.00%
0106900090,ASD05,-
0106900090,GCT 06,15%
0106900090,EXC023,-
0106900090,SCTA08,-
0106900090,SCTS18,-
0106900090,SCTF028,-
0106900090,SCF90,-
0106900090,ENVL20,0.50%
0201100000,ID-01,40.00%
0201100000,ASD05,32.8571%
0201100000,GCT 06,15%
0201100000,EXC023,-
0201100000,SCTA08,-
0201100000,SCTS18,-
0201100000,SCTF028,-
0201100000,SCF90,-
0201100000,ENVL20,0.50%
0201201000,ID-01,40.00%
0201201000,ASD05,32.8571%
0201201000,GCT 06,15%
0201201000,EXC023,-
0201201000,SCTA08,-
0201201000,SCTS18,-
0201201000,SCTF028,-
0201201000,SCF90,-
0201201000,ENVL20,0.50%
0201209000,ID-01,40.00%
0201209000,ASD05,32.8571%
0201209000,GCT 06,15%
0201209000,EXC023,-
0201209000,SCTA08,-
0201209000,SCTS18,-
0201209000,SCTF028,-
0201209000,SCF90,-
0201209000,ENVL20,0.50%
0201301000,ID-01,40.00%
0201301000,ASD05,32.8571%
0201301000,GCT 06,15%
0201301000,EXC023,-
0201301000,SCTA08,-
0201301000,SCTS18,-
0201301000,SCTF028,-
0201301000,SCF90,-
0201301000,ENVL20,0.50%
0201302000,ID-01,40.00%
0201302000,ASD05,32.8571%
0201302000,GCT 06,15%
0201302000,EXC023,-
0201302000,SCTA08,-
0201302000,SCTS18,-
0201302000,SCTF028,-
0201302000,SCF90,-
0201302000,ENVL20,0.50%
0201303000,ID-01,40.00%
0201303000,ASD05,32.8571%
0201303000,GCT 06,15%
0201303000,EXC023,-
0201303000,SCTA08,-
0201303000,SCTS18,-
0201303000,SCTF028,-
0201303000,SCF90,-
0201303000,ENVL20,0.50%
0201309010,ID-01,40.00%
0201309010,ASD05,32.8571%
0201309010,GCT 06,15%
0201309010,EXC023,-
0201309010,SCTA08,-
0201309010,SCTS18,-
0201309010,SCTF028,-
0201309010,SCF90,-
0201309010,ENVL20,0.50%
0201309090,ID-01,40.00%
0201309090,ASD05,32.8571%
0201309090,GCT 06,15%
0201309090,EXC023,-
0201309090,SCTA08,-
0201309090,SCTS18,-
0201309090,SCTF028,-
0201309090,SCF90,-
0201309090,ENVL20,0.50%
0202100000,ID-01,40.00%
0202100000,ASD05,32.8571%
0202100000,GCT 06,15%
0202100000,EXC023,-
0202100000,SCTA08,-
0202100000,SCTS18,-
0202100000,SCTF028,-
0202100000,SCF90,-
0202100000,ENVL20,0.50%
0202201000,ID-01,40.00%
0202201000,ASD05,32.8571%
0202201000,GCT 06,15%
0202201000,EXC023,-
0202201000,SCTA08,-
0202201000,SCTS18,-
0202201000,SCTF028,-
0202201000,SCF90,-
0202201000,ENVL20,0.50%
0202209000,ID-01,40.00%
0202209000,ASD05,32.8571%
0202209000,GCT 06,15%
0202209000,EXC023,-
0202209000,SCTA08,-
0202209000,SCTS18,-
0202209000,SCTF028,-
0202209000,SCF90,-
0202209000,ENVL20,0.50%
0202301000,ID-01,40.00%
0202301000,ASD05,32.8571%
0202301000,GCT 06,15%
0202301000,EXC023,-
0202301000,SCTA08,-
0202301000,SCTS18,-
0202301000,SCTF028,-
0202301000,SCF90,-
0202301000,ENVL20,0.50%
0202302000,ID-01,40.00%
0202302000,ASD05,32.8571%
0202302000,GCT 06,15%
0202302000,EXC023,-
0202302000,SCTA08,-
0202302000,SCTS18,-
0202302000,SCTF028,-
0202302000,SCF90,-
0202302000,ENVL20,0.50%
0202303000,ID-01,40.00%
0202303000,ASD05,32.8571%
0202303000,GCT 06,15%
0202303000,EXC023,-
0202303000,SCTA08,-
0202303000,SCTS18,-
0202303000,SCTF028,-
0202303000,SCF90,-
0202303000,ENVL20,0.50%
0202309010,ID-01,40.00%
0202309010,ASD05,32.8571%
0202309010,GCT 06,15%
0202309010,EXC023,-
0202309010,SCTA08,-
0202309010,SCTS18,-
0202309010,SCTF028,-
0202309010,SCF90,-
0202309010,ENVL20,0.50%
0202309090,ID-01,40.00%
0202309090,ASD05,32.8571%
0202309090,GCT 06,15%
0202309090,EXC023,-
0202309090,SCTA08,-
0202309090,SCTS18,-
0202309090,SCTF028,-
0202309090,SCF90,-
0202309090,ENVL20,0.50%
0203110000,ID-01,40.00%
0203110000,ASD05,32.8571%
0203110000,GCT 06,15%
0203110000,EXC023,-
0203110000,SCTA08,-
0203110000,SCTS18,-
0203110000,SCTF028,-
0203110000,SCF90,-
0203110000,ENVL20,0.50%
0203120000,ID-01,40.00%
0203120000,ASD05,32.8571%
0203120000,GCT 06,15%
0203120000,EXC023,-
0203120000,SCTA08,-
0203120000,SCTS18,-
0203120000,SCTF028,-
0203120000,SCF90,-
0203120000,ENVL20,0.50%
0203190000,ID-01,40.00%
0203190000,ASD05,32.8571%
0203190000,GCT 06,15%
0203190000,EXC023,-
0203190000,SCTA08,-
0203190000,SCTS18,-
0203190000,SCTF028,-
0203190000,SCF90,-
0203190000,ENVL20,0.50%
0203210000,ID-01,40.00%
0203210000,ASD05,32.8571%
0203210000,GCT 06,15%
0203210000,EXC023,-
0203210000,SCTA08,-
0203210000,SCTS18,-
0203210000,SCTF028,-
0203210000,SCF90,-
0203210000,ENVL20,0.50%
0203220000,ID-01,40.00%
0203220000,ASD05,32.8571%
0203220000,GCT 06,15%
0203220000,EXC023,-
0203220000,SCTA08,-
0203220000,SCTS18,-
0203220000,SCTF028,-
0203220000,SCF90,-
0203220000,ENVL20,0.50%
0203290000,ID-01,40.00%
0203290000,ASD05,32.8571%
0203290000,GCT 06,15%
0203290000,EXC023,-
0203290000,SCTA08,-
0203290000,SCTS18,-
0203290000,SCTF028,-
0203290000,SCF90,-
0203290000,ENVL20,0.50%
0204100000,ID-01,5.00%
0204100000,ASD05,15.0000%
0204100000,GCT 06,15%
0204100000,EXC023,-
0204100000,SCTA08,-
0204100000,SCTS18,-
0204100000,SCTF028,-
0204100000,SCF90,-
0204100000,ENVL20,0.50%
0204210000,ID-01,5.00%
0204210000,ASD05,15.0000%
0204210000,GCT 06,15%
0204210000,EXC023,-
0204210000,SCTA08,-
0204210000,SCTS18,-
0204210000,SCTF028,-
0204210000,SCF90,-
0204210000,ENVL20,0.50%
0204220000,ID-01,5.00%
0204220000,ASD05,15.0000%
0204220000,GCT 06,15%
0204220000,EXC023,-
0204220000,SCTA08,-
0204220000,SCTS18,-
0204220000,SCTF028,-
0204220000,SCF90,-
0204220000,ENVL20,0.50%
0204230000,ID-01,5.00%
0204230000,ASD05,15.0000%
0204230000,GCT 06,15%
0204230000,EXC023,-
0204230000,SCTA08,-
0204230000,SCTS18,-
0204230000,SCTF028,-
0204230000,SCF90,-
0204230000,ENVL20,0.50%
0204300000,ID-01,5.00%
0204300000,ASD05,15.0000%
0204300000,GCT 06,15%
0204300000,EXC023,-
0204300000,SCTA08,-
0204300000,SCTS18,-
0204300000,SCTF028,-
0204300000,SCF90,-
0204300000,ENVL20,0.50%
0204410000,ID-01,5.00%
0204410000,ASD05,15.0000%
0204410000,GCT 06,15%
0204410000,EXC023,-
0204410000,SCTA08,-
0204410000,SCTS18,-
0204410000,SCTF028,-
0204410000,SCF90,-
0204410000,ENVL20,0.50%
0204420000,ID-01,5.00%
0204420000,ASD05,15.0000%
0204420000,GCT 06,15%
0204420000,EXC023,-
0204420000,SCTA08,-
0204420000,SCTS18,-
0204420000,SCTF028,-
0204420000,SCF90,-
0204420000,ENVL20,0.50%
0204430000,ID-01,5.00%
0204430000,ASD05,15.0000%
0204430000,GCT 06,15%
0204430000,EXC023,-
0204430000,SCTA08,-
0204430000,SCTS18,-
0204430000,SCTF028,-
0204430000,SCF90,-
0204430000,ENVL20,0.50%
0204500000,ID-01,5.00%
0204500000,ASD05,15.0000%
0204500000,GCT 06,15%
0204500000,EXC023,-
0204500000,SCTA08,-
0204500000,SCTS18,-
0204500000,SCTF028,-
0204500000,SCF90,-
0204500000,ENVL20,0.50%
0205000000,ID-01,40.00%
0205000000,ASD05,-
0205000000,GCT 06,15%
0205000000,EXC023,-
